user_id,amount,hour,day_of_week,is_weekend,is_night,log_amount,amount_zscore,is_high_amount,is_very_high_amount,is_high_risk_merchant,is_high_risk_category,is_high_risk_location,merchant_risk_score,velocity_ratio,amount_vs_user_avg,amount_vs_user_std,is_new_merchant,user_tx_count,user_tx_last_hour,user_tx_last_day,is_business_hours,amount_x_merchant_risk,amount_x_night,is_fraud,merchant_Amazon,merchant_Apple Store,merchant_Best Buy,merchant_Casino Royal,merchant_Costco,merchant_CryptoBridge,merchant_Delta Airlines,merchant_LoanShark Finance,merchant_McDonald's,merchant_Netflix,merchant_OffshoreBank,merchant_PawnShop Plus,merchant_Shell Gas,merchant_Starbucks,merchant_Target,merchant_Uber,merchant_Unknown Vendor,merchant_Walmart,merchant_Wire Transfer Co,category_clothing,category_crypto,category_electronics,category_food,category_gambling,category_healthcare,category_retail,category_travel,category_utilities,"location_Austin, US","location_Chicago, US","location_London, UK","location_Miami, US","location_New York, US","location_San Francisco, US","location_Seattle, US","location_Tokyo, JP",location_Unknown Location,location_anonymous,location_offshore
USR-0100,-0.18888461105647633,-0.5124174030748495,0.5278845715349427,-0.6243829476556362,-0.3515615246553262,-0.9634186950028244,-0.2450133699902231,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.6424827920532131,-0.3196700928828172,-0.7494919391824317,-0.08221520924831101,-0.31256173923602365,1.1592661734526089,-0.3245777305993,-0.6580972823357519,1.0629795165520164,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
USR-0089,-0.14553723444235162,-0.10878022066063164,1.0263591433337556,1.6015812151095552,-0.3515615246553262,-0.11421623031646777,-0.20140615475973253,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.5749649210020908,-0.17573836041533103,-0.687156676597627,-0.5914662760985223,-0.31256173923602365,1.506924345128305,0.027649866361416232,-0.5484600841123863,-0.9407519001341595,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
USR-0018,-0.18237414247523032,-0.10878022066063164,1.5248337151325682,1.6015812151095552,-0.3515615246553262,-0.2524070599318086,-0.23392455378020968,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.06691024978734145,0.061439032748535606,-0.006830947834685495,-0.5742780387374726,-0.31256173923602365,-1.3508258260459176,-0.3245777305993,-0.43882288588902074,-0.9407519001341595,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
USR-0035,-0.11309713138357967,1.3039499177891307,1.5248337151325682,1.6015812151095552,-0.3515615246553262,-0.19628723511716242,-0.16279375944346344,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.04663850106298654,-0.5066797107731182,-0.17057211435638636,-0.5969594474915139,-0.31256173923602365,0.9923902510482747,-0.3245777305993,-0.43882288588902074,-0.9407519001341595,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
USR-0040,-0.18338901801292543,0.4966755529606951,1.0263591433337556,1.6015812151095552,-0.3515615246553262,0.16932205630065314,-0.1899355617073335,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.14725996561961605,-0.15499768186807514,-0.2238282683995656,-0.1565990990936091,-0.31256173923602365,-0.21050702294963408,-0.6768053275600163,0.10936310522780723,-0.9407519001341595,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
USR-0136,-0.25266985634587674,-0.9160545854890674,-1.4660137156603081,-0.6243829476556362,-0.3515615246553262,-0.2164669302306739,-0.14143646891507003,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.8054015762704284,-0.040479929816519704,-0.12428115578007255,0.020275631544594677,-0.31256173923602365,0.2901207442633684,0.027649866361416232,-0.32918568766565515,-0.9407519001341595,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
USR-0048,-0.21969447442268583,0.6984941441678041,-1.4660137156603081,-0.6243829476556362,-0.3515615246553262,0.10823821821675482,-0.21307346449400819,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.46193715111793493,-0.22465784494907123,-0.14501223349214046,-0.24138736495875898,-0.31256173923602365,-0.23136651325017585,0.027649866361416232,-0.5484600841123863,1.0629795165520164,0.0,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
USR-0142,-0.1510603414637235,-0.10878022066063164,-0.9675391438614954,-0.6243829476556362,-0.3515615246553262,-0.1631512629824438,-0.1592629979904335,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.4112758619262486,-0.30795788824382053,-0.41296940224712275,-0.9781173366156227,-0.31256173923602365,1.4860648548277633,0.027649866361416232,-0.10991129121892396,1.0629795165520164,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
USR-0029,-0.1608737409326153,-0.10878022066063164,-0.4690645720626827,-0.6243829476556362,-0.3515615246553262,0.6022351704000525,-0.12906015494413162,-0.32774946540135635,-0.2318205766712201,-0.37882789954389795,-0.37882789954389795,-0.37882789954389795,-0.5203606838621676,-0.6786513584595697,-0.5465113115487721,-0.8238290556871796,-0.31256173923602365,-1.2604347014102366,-0.3245777305993,0.10936310522780723,1.0629795165520164,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
USR-0075,0.7926986654383907,-1.925147541524612,1.0263591433337556,1.6015812151095552,2.844452335847639,2.4143742456336064,0.7500391875208574,3.051111002653864,4.313680926686037,2.639721100805887,2.639721100805887,2.639721100805887,2.2043043136593936,1.1549268077221333,1.9159446724675175,3.4297617651247254,3.199367915101321,0.2484017636622849,3.1976982390078623,1.53464668213156,-0.9407519001341595,0.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
