user_id,amount,merchant,category,location,hour,day_of_week,is_weekend,is_night,log_amount,amount_zscore,is_high_amount,is_very_high_amount,is_high_risk_merchant,is_high_risk_category,is_high_risk_location,merchant_risk_score,velocity_ratio,amount_vs_user_avg,amount_vs_user_std,is_new_merchant,user_tx_count,user_tx_last_hour,user_tx_last_day,is_business_hours,amount_x_merchant_risk,amount_x_night,is_fraud
USR-0100,51.83495016732488,Starbucks,utilities,"Chicago, US",10,4,0,0,4.111595001932361,-1.5903486442969346,0,0,0,0,0,0.04000530249200177,1.2775895867088582,-0.7628903086719254,0.36164798082240596,0,414,1,2,1,0,0,0
USR-0089,385.9200993288035,Amazon,retail,"San Francisco, US",12,5,1,0,5.25888377374396,-0.7509709226098997,0,0,0,0,0,0.0556917778312781,1.5391376998748854,-0.6485106573980509,-0.39571010185692346,0,464,2,3,0,0,0,0
USR-0018,102.01217049691581,Target,healthcare,"New York, US",12,6,1,0,5.072185319867514,-1.3769044874671432,0,0,0,0,0,0.17372848347592193,1.9701288274336357,0.5998264215175159,-0.37014775876176254,0,53,1,4,0,0,0,0
USR-0035,635.9411505605887,Starbucks,retail,"Tokyo, JP",19,6,1,0,5.148004276551369,-0.007736477618616788,0,0,0,0,0,0.1784382333761791,0.9377617262045248,0.29937597422133294,-0.4038795452314009,0,390,1,4,0,0,0,0
USR-0040,94.1903627688624,Starbucks,retail,"New York, US",15,5,1,0,5.641949421975054,-0.5301780971145965,0,0,0,0,0,0.15506077644815586,1.5768269935894825,0.20165567795468203,0.25102427502654634,0,217,0,9,0,0,0,0
USR-0136,-439.7681144542855,Uber,food,"Miami, US",8,0,0,0,5.1207411224920305,0.4033614053894302,0,0,0,0,0,0.0021542646683534554,1.7849249679528862,0.38431575757251174,0.5140723383307995,0,289,2,5,0,0,0,0
USR-0048,-185.62158359187993,Delta Airlines,retail,"San Francisco, US",16,0,0,0,5.559423988421705,-0.9755502682803312,0,0,0,0,0,0.08195160056174837,1.450242786588514,0.34627607760786927,0.12492718333754055,0,214,2,3,1,0,0,0
USR-0142,343.35263210937825,Target,food,"Tokyo, JP",12,1,0,0,5.192771608670766,0.060225727456851286,0,0,0,0,0,0.0937217741645211,1.2988726281329304,-0.14540144563722993,-0.970737480140832,0,461,2,7,1,0,0,0
USR-0029,267.71919633006996,Starbucks,healthcare,"Seattle, US",12,2,0,0,6.226823319108262,0.641588088035885,0,0,0,0,0,0.06837801935490163,0.6252603813005804,-0.39043894741384827,-0.7412799802349447,0,66,1,9,1,0,0,0
USR-0075,7617.053908200968,LoanShark Finance,electronics,anonymous,3,5,1,1,8.675057869092033,17.56301724407355,1,1,1,1,1,0.7014013897015454,3.9571796286116756,4.127948319277596,5.584659420300573,1,283,11,22,0,0,0,1
USR-0172,-302.04458036942634,Apple Store,food,"Chicago, US",16,1,0,0,4.93509295531061,0.2643112508559637,0,0,0,0,0,0.049375390319413064,0.8111962736069216,-0.5615832660693979,0.16456016236008664,0,180,0,1,1,0,0,0
USR-0101,518.2010587519826,Starbucks,clothing,"Chicago, US",19,0,0,0,4.889557453412975,0.3096970125281627,0,0,0,0,0,0.07396674083355809,0.4984293452721751,0.3833306020644627,0.004354864185509379,0,54,2,5,0,0,0,0
USR-0160,238.00130769139233,Costco,clothing,"Miami, US",12,5,1,0,6.109608535834273,1.187205939798352,0,0,0,0,0,0.13061331152446673,0.6758864691808252,-0.21259505367328935,-0.4391113443400248,0,294,0,4,0,0,0,0
USR-0187,816.6666899441032,McDonald's,food,"New York, US",13,3,0,0,5.654439003340218,0.679682906182694,0,0,0,0,0,0.051425331458937296,0.527821597147708,0.21685950661392336,0.2375567855781476,0,403,1,3,1,0,0,0
USR-0011,284.43021026080174,Amazon,clothing,"Miami, US",16,0,0,0,4.502874765914924,-0.11402392012545037,0,0,0,0,0,0.06740863109841778,0.5964454894680766,0.9247076253332916,0.7752075505636485,0,99,2,9,1,0,0,0
USR-0140,197.02094613884557,Walmart,food,"Miami, US",8,5,1,0,4.789112320578168,-0.959924556229693,0,0,0,0,0,0.12284488548360387,1.873993266161128,-0.7251316946849771,-0.38043417091444065,0,147,2,4,0,0,0,0
USR-0112,484.6447398937577,Amazon,retail,"Austin, US",18,3,0,0,5.464886768977167,0.7660486491608256,0,0,0,0,0,0.038458376562581,1.512870516323221,-0.896607615931423,-0.6708417662972498,0,338,1,6,0,0,0,0
USR-0142,820.4683282602223,Best Buy,food,"London, UK",16,0,0,0,5.860761502319719,-0.4263722866103651,0,0,0,0,0,0.07694444818529204,1.5111253986868824,0.32702488701137244,0.597072293322808,0,401,0,3,1,0,0,0
USR-0021,196.9583311141719,Target,utilities,"Chicago, US",13,1,0,0,5.357225621199324,-0.36484302346144554,0,0,0,0,0,0.10512601010421058,1.3185661748776951,-0.07152183264241946,-0.6876124095062959,0,317,2,4,1,0,0,0
USR-0046,-408.1078832120536,Casino Royal,electronics,anonymous,0,4,0,1,5.798815663060054,-0.6673620557714615,0,0,1,1,1,0.9268901480771518,5.658807364439887,2.0839183016113365,5.780851026180035,1,181,5,42,0,0,0,1
USR-0054,1179.767694603248,PawnShop Plus,electronics,anonymous,0,0,0,1,6.530447827082687,0.3187782579227485,0,0,1,1,1,0.8427323168926375,7.025766748602214,2.6319260859576032,4.420387470895789,0,450,13,11,0,0,0,1
USR-0176,-6.764807670691681,Amazon,food,"Chicago, US",15,5,1,0,4.5931582910698125,-0.6860055299490921,0,0,0,0,0,0.11971668832749978,0.983911825260072,-0.15253801707946377,-0.5455674499717442,0,408,0,7,0,0,0,0
USR-0032,1207.5001679722582,Target,retail,"San Francisco, US",19,1,0,0,5.456053095317189,-0.2961312639093045,0,0,0,0,0,0.12073788548215449,0.7215030895498584,0.030748985735466625,0.060088019797749206,0,125,1,6,0,0,0,0
USR-0008,96.43797688186555,Shell Gas,utilities,"London, UK",17,4,0,0,5.748897551217665,-0.5870390802990217,0,0,0,0,0,0.13879226648734305,0.9141859603177851,0.17690090870305758,-0.8481412311020191,0,365,1,3,1,0,0,0
USR-0183,-110.7384756004505,Delta Airlines,utilities,"London, UK",8,1,0,0,3.5855840980741003,-0.5139470809047623,0,0,0,0,0,0.05089903713045425,0.7658942348783808,-0.9413726890085616,-0.05514161510919201,0,396,0,1,0,0,0,0
USR-0117,455.89150518822646,Walmart,food,"Miami, US",8,4,0,0,5.098754790586088,-0.05122307155675107,0,0,0,0,0,0.15538068376343636,1.2383588152292693,0.24437860481995907,-0.2584592259498387,0,349,2,3,0,0,0,0
USR-0094,653.6535396753379,Costco,healthcare,"Seattle, US",16,0,0,0,5.9201043475541715,-0.24907528568922105,0,0,0,0,0,0.15008603536840556,1.493718888107873,-0.08920075898554213,-0.7615016035886376,0,432,0,7,1,0,0,0
USR-0069,253.25231661324852,Starbucks,clothing,"San Francisco, US",12,5,1,0,4.539181933510444,1.806261675551015,0,0,0,0,0,0.19645725755623786,0.8495839788064998,-0.9570933370975117,0.9755204341238738,0,96,0,8,0,0,0,0
USR-0124,-86.9068307995621,Best Buy,retail,"San Francisco, US",18,2,0,0,4.8310448231070655,0.017423195459124963,0,0,0,0,0,0.04166396804064812,1.5715757223986042,0.6108995160257173,0.3221924091962227,0,65,0,8,0,0,0,0
USR-0035,-292.0751605053728,Costco,clothing,"Tokyo, JP",19,2,0,0,5.0720960304517755,-0.12389854751883651,0,0,0,0,0,0.07434189532271894,1.3731408175316382,-0.33801513379005965,0.5360700128937401,0,418,2,9,0,0,0,0
USR-0164,-189.32159916961092,Delta Airlines,retail,"New York, US",18,4,0,0,4.094091916296366,-1.0972161874347832,0,0,0,0,0,0.024240170729568612,1.685658542576846,0.48965448029194486,0.9469961740159349,0,496,1,1,0,0,0,0
USR-0183,-208.68001226660715,Starbucks,healthcare,"London, UK",15,0,0,0,5.987549326500604,0.4467561134676305,0,0,0,0,0,0.1526521813520899,1.7711994118841148,-0.9109235019091214,0.8714658315325369,0,62,0,6,1,0,0,0
USR-0069,990.2054484499132,Target,clothing,"Seattle, US",11,4,0,0,5.339925993381853,0.09511809470195545,0,0,0,0,0,0.05706133425256789,0.9980129111890658,0.31860813909467767,0.4983523655202822,0,151,0,7,1,0,0,0
USR-0122,2078.332226790111,CryptoBridge,travel,anonymous,1,6,1,1,7.779438404128452,5.554353878452621,1,0,1,1,1,0.7683140680878269,9.150118728034888,4.031148222988286,2.42967336614088,1,74,12,26,0,0,0,1
USR-0194,4191.358048118297,Casino Royal,crypto,Unknown Location,1,1,0,1,8.320117762168755,11.502909117165581,1,0,1,1,1,0.6207460796694879,3.2846760793951355,7.884659136778769,3.3319557319211044,1,145,9,34,0,0,0,1
USR-0189,370.84051933481567,Shell Gas,retail,"Seattle, US",11,2,0,0,4.650819336608771,-2.0034947379980093,0,0,0,0,0,0.07862123256293238,1.7123675740050146,-0.38087805396790353,-0.3740640048920596,0,126,2,2,1,0,0,0
USR-0191,188.04150738242694,Target,healthcare,"London, UK",8,5,1,0,5.1699045437954645,-0.526245006714928,0,0,0,0,0,0.10361867130949076,0.5027753329029852,-0.05046656431463474,-0.04810761715825941,0,58,0,5,0,0,0,0
USR-0147,634.1026555692127,PawnShop Plus,electronics,offshore,4,3,0,1,6.709389304612608,2.2172980536192624,0,0,1,1,1,0.931786817211402,6.527991167472265,5.803851912491093,4.655384275216554,1,373,8,12,0,0,0,1
USR-0136,630.1171115036784,Netflix,retail,"London, UK",15,1,0,0,6.5550684299587365,0.22982020119520064,0,0,0,0,0,0.08824547871066979,1.3484703072626905,-0.9531239484932156,1.1048115677047854,0,192,2,6,1,0,0,0
USR-0157,652.285905970088,Casino Royal,gambling,offshore,0,3,0,1,6.843281061779928,0.10229264933716542,0,0,1,1,1,0.6431858923051971,3.5295587118635052,7.520837263567234,3.6970373968069055,1,409,4,19,0,0,0,1
USR-0026,42.932584406068756,Walmart,food,"Chicago, US",8,4,0,0,4.9769443199501335,-0.7723451499488384,0,0,0,0,0,0.06057329676186224,1.9558127516925976,0.7182687839086118,0.594433809917874,0,98,0,3,0,0,0,0
